compound,created_at,retweet_count
0.7184,2022-03-30 03:31:28+00:00,921
0.7096,2022-03-30 03:31:26+00:00,315
-0.8225,2022-03-30 03:31:26+00:00,127
0.4199,2022-03-30 03:31:20+00:00,226
0.7096,2022-03-30 03:31:16+00:00,315
0.7184,2022-03-30 03:31:09+00:00,921
0.658,2022-03-30 03:31:08+00:00,397
-0.6703,2022-03-30 03:31:06+00:00,313
0.3818,2022-03-30 03:31:00+00:00,22777
-0.8225,2022-03-30 03:30:52+00:00,127
0.3612,2022-03-30 03:30:50+00:00,3183
0.2263,2022-03-30 03:30:47+00:00,181
-0.1531,2022-03-30 03:30:47+00:00,172
-0.4767,2022-03-30 03:30:43+00:00,1277
0.5574,2022-03-30 03:30:43+00:00,257
0.8583,2022-03-30 03:30:38+00:00,240
0.7717,2022-03-30 03:30:36+00:00,543
0.5106,2022-03-30 03:30:34+00:00,286
0.6166,2022-03-30 03:30:26+00:00,185
0.4767,2022-03-30 03:30:26+00:00,751
-0.3818,2022-03-30 03:30:23+00:00,333
0.5229,2022-03-30 03:30:16+00:00,174
0.2732,2022-03-30 03:30:13+00:00,123
0.7717,2022-03-30 03:30:05+00:00,543
0.7184,2022-03-30 03:29:59+00:00,921
-0.5574,2022-03-30 03:29:57+00:00,303
0.4767,2022-03-30 03:29:54+00:00,493
0.2732,2022-03-30 03:29:48+00:00,123
0.7184,2022-03-30 03:29:46+00:00,921
0.7184,2022-03-30 03:29:41+00:00,921
0.6369,2022-03-30 03:29:31+00:00,1976
0.4767,2022-03-30 03:29:24+00:00,270
0.7096,2022-03-30 03:29:19+00:00,315
0.7184,2022-03-30 03:29:18+00:00,921
0.7096,2022-03-30 03:29:12+00:00,315
0.4939,2022-03-30 03:29:10+00:00,107
0.7717,2022-03-30 03:29:05+00:00,544
0.6808,2022-03-30 03:28:47+00:00,110
0.4939,2022-03-30 03:28:45+00:00,203
0.4767,2022-03-30 03:28:45+00:00,375
0.2263,2022-03-30 03:28:43+00:00,182
0.944,2022-03-30 03:28:39+00:00,210
0.7184,2022-03-30 03:28:37+00:00,921
0.7184,2022-03-30 03:28:31+00:00,921
0.7096,2022-03-30 03:28:31+00:00,315
0.4019,2022-03-30 03:28:30+00:00,181
-0.5423,2022-03-30 03:28:30+00:00,138
-0.5423,2022-03-30 03:28:22+00:00,138
0.7717,2022-03-30 03:28:15+00:00,544
0.7096,2022-03-30 03:28:12+00:00,315
0.7184,2022-03-30 03:28:11+00:00,921
0.7184,2022-03-30 03:28:03+00:00,921
0.5473,2022-03-30 03:28:00+00:00,326
0.7184,2022-03-30 03:28:00+00:00,921
0.3384,2022-03-30 03:27:56+00:00,174
0.2263,2022-03-30 03:27:48+00:00,182
0.8038,2022-03-30 03:27:41+00:00,196
0.5473,2022-03-30 03:27:35+00:00,326
0.7184,2022-03-30 03:27:34+00:00,921
0.7351,2022-03-30 03:27:25+00:00,569
0.7096,2022-03-30 03:27:25+00:00,315
0.7717,2022-03-30 03:27:25+00:00,544
-0.3818,2022-03-30 03:27:21+00:00,333
-0.5423,2022-03-30 03:27:19+00:00,138
0.8269,2022-03-30 03:27:18+00:00,30899
0.5859,2022-03-30 03:27:11+00:00,1126
0.7184,2022-03-30 03:27:07+00:00,921
-0.5994,2022-03-30 03:27:05+00:00,638
0.7717,2022-03-30 03:27:03+00:00,544
0.7096,2022-03-30 03:27:02+00:00,315
0.7717,2022-03-30 03:26:58+00:00,544
0.3818,2022-03-30 03:26:55+00:00,426
0.296,2022-03-30 03:26:53+00:00,1409
-0.4404,2022-03-30 03:26:53+00:00,206
0.7184,2022-03-30 03:26:51+00:00,921
0.4939,2022-03-30 03:26:49+00:00,203
0.7184,2022-03-30 03:26:49+00:00,921
0.5423,2022-03-30 03:26:49+00:00,239
0.5473,2022-03-30 03:26:47+00:00,327
-0.4767,2022-03-30 03:26:42+00:00,1277
0.5229,2022-03-30 03:26:42+00:00,174
0.7184,2022-03-30 03:26:40+00:00,921
0.7717,2022-03-30 03:26:38+00:00,544
0.7184,2022-03-30 03:26:36+00:00,921
0.5473,2022-03-30 03:26:35+00:00,327
-0.4588,2022-03-30 03:26:32+00:00,210
0.5473,2022-03-30 03:26:31+00:00,327
0.4995,2022-03-30 03:26:27+00:00,378
-0.4767,2022-03-30 03:26:27+00:00,1277
0.7184,2022-03-30 03:26:26+00:00,921
-0.3818,2022-03-30 03:26:01+00:00,333
0.6369,2022-03-30 03:25:59+00:00,255
0.4995,2022-03-30 03:25:57+00:00,333
-0.296,2022-03-30 03:25:48+00:00,198
0.1779,2022-03-30 03:25:36+00:00,153
-0.3595,2022-03-30 03:25:34+00:00,209
0.5994,2022-03-30 03:25:24+00:00,1207
0.4939,2022-03-30 03:25:17+00:00,203
0.5473,2022-03-30 03:25:15+00:00,327
0.7184,2022-03-30 03:25:15+00:00,921
0.4939,2022-03-30 03:25:05+00:00,203
0.7717,2022-03-30 03:25:03+00:00,544
-0.4574,2022-03-30 03:25:02+00:00,175
-0.4404,2022-03-30 03:25:02+00:00,206
0.7184,2022-03-30 03:25:01+00:00,921
0.7096,2022-03-30 03:25:00+00:00,341
-0.8225,2022-03-30 03:24:57+00:00,127
0.8269,2022-03-30 03:24:50+00:00,30900
0.0772,2022-03-30 03:24:46+00:00,137
0.8264,2022-03-30 03:24:35+00:00,1776
0.4939,2022-03-30 03:24:24+00:00,203
0.8269,2022-03-30 03:24:17+00:00,30900
0.5473,2022-03-30 03:24:16+00:00,327
-0.296,2022-03-30 03:24:10+00:00,240
0.296,2022-03-30 03:24:10+00:00,393
0.5574,2022-03-30 03:24:08+00:00,257
0.5229,2022-03-30 03:24:01+00:00,174
-0.4019,2022-03-30 03:23:58+00:00,218
-0.4588,2022-03-30 03:23:56+00:00,210
0.5882,2022-03-30 03:23:55+00:00,230
-0.296,2022-03-30 03:23:53+00:00,198
0.6124,2022-03-30 03:23:48+00:00,100
0.7717,2022-03-30 03:23:41+00:00,544
